345,265,346,289|dark olive green,BALDERAS,NINOS HEROES
346,289,340,312|dark olive green,NINOS HEROES,HOSPITAL GENERAL
340,312,335,325|dark olive green,HOSPITAL GENERAL,CENTRO MEDICO
335,325,329,350|dark olive green,CENTRO MEDICO,ETIOPIA
329,350,322,372|dark olive green,ETIOPIA,EUGENIA
322,372,314,400|dark olive green,EUGENIA,DIVISION DEL NORTE
314,400,280,420|dark olive green,DIVISION DEL NORTE,ZAPATA
280,420,240,460|dark olive green,ZAPATA,COYOACAN
240,460,220,480|dark olive green,COYOACAN,VIVEROS
220,480,203,498|dark olive green,VIVEROS,MIGUEL ANGEL DE QUEVEDO
203,498,212,523|dark olive green,MIGUEL ANGEL DE QUEVEDO,COPILCO
212,523,220,548|dark olive green,COPILCO,UNIVERSIDAD

392,195,390,231|sea green,GARIBALDI,BELLAS ARTES
390,231,385,250|sea green,BELLAS ARTES,SAN JUAN DE LETRAN
385,250,376,267|sea green,SAN JUAN DE LETRAN,SALTO DEL AGUA
376,267,388,293|sea green,SALTO DEL AGUA,DOCTORES
388,293,405,310|sea green,DOCTORES,OBRERA
405,310,437,335|sea green,OBRERA,CHABACANO
437,335,455,345|sea green,CHABACANO,LA VIGA
455,345,473,346|sea green,LA VIGA,SANTA ANITA
473,346,505,375|sea green,SANTA ANITA,COYUYA
505,375,515,410|sea green,COYUYA,IZTACALCO
515,410,525,440|sea green,IZTACALCO,APATLACO
525,440,535,465|sea green,APATLACO,ACULCO
535,465,528,490|sea green,ACULCO,ESCUADRON 201
528,490,550,520|sea green,ESCUADRON 201,ATLALILCO
550,520,590,510|sea green,ATLALILCO,IZTAPALAPA
590,510,615,525|sea green,IZTAPALAPA,CERRO DE LA ESTRELLA
615,525,645,545|sea green,CERRO DE LA ESTRELLA,U.A.M I
645,545,695,570|sea green,U.A.M I,CONSTITUCION DE 1917
